drug_name,category,eco_toxicity,biodegradability,persistence,cost
Ibuprofen,Analgesic,6,4,7,5.50
Aspirin,Analgesic,4,8,3,4.00
Paracetamol,Analgesic,3,9,2,3.50
Amoxicillin,Antibiotic,8,2,9,12.00
Metformin,Antidiabetic,2,7,4,8.00
Atorvastatin,Statin,5,5,6,15.00
Lisinopril,ACE Inhibitor,4,6,5,10.00
Amlodipine,Calcium Channel Blocker,4,5,6,9.50
Omeprazole,PPI,5,4,7,11.00
Naproxen,Analgesic,7,3,8,6.50
Ciprofloxacin,Antibiotic,9,1,10,14.00
Cetirizine,Antihistamine,3,7,4,7.00
Sertraline,Antidepressant,6,3,8,20.00
Warfarin,Anticoagulant,5,4,6,18.00
Gabapentin,Anticonvulsant,4,6,5,22.00
Levothyroxine,Thyroid,2,8,3,12.50
Losartan,ARB,4,5,7,11.20
Albuterol,Bronchodilator,3,7,4,18.50
Prednisone,Corticosteroid,5,4,8,9.00
Pantoprazole,PPI,5,5,6,13.00
Sildenafil,PDE5 Inhibitor,6,3,7,35.00
Fluoxetine,Antidepressant,7,2,9,14.50
Alprazolam,Anxiolytic,6,3,8,16.00
Zolpidem,Sedative,5,4,7,13.50
Melatonin,Supplement,1,9,2,8.50
Atropine,Anticholinergic,2,7,4,10.00
Digoxin,Cardiac Glycoside,4,5,6,22.00
Furosemide,Diuretic,5,4,7,7.50
Spironolactone,Diuretic,6,3,8,12.00
Hydrochlorothiazide,Diuretic,4,6,5,6.00
Clopidogrel,Antiplatelet,5,5,6,19.00
Simvastatin,Statin,5,5,6,10.50
Rosuvastatin,Statin,4,6,5,25.00
Montelukast,Leukotriene Receptor Antagonist,6,4,7,16.50
Fluticasone,Corticosteroid,7,2,9,32.00
Ezetimibe,Cholesterol Absorption Inhibitor,3,7,4,21.00
Sitagliptin,Antidiabetic,4,6,5,45.00
Escitalopram,Antidepressant,6,3,8,17.00
Duloxetine,Antidepressant,7,2,9,24.00
Venlafaxine,Antidepressant,6,4,7,19.50
Bupropion,Antidepressant,5,5,6,22.50
Tramadol,Analgesic,6,3,8,15.00
Oxycodone,Analgesic,7,2,9,40.00
Hydrocodone,Analgesic,7,2,9,38.00
Codeine,Analgesic,6,4,7,12.00
Morphine,Analgesic,5,5,6,25.00
Fentanyl,Analgesic,8,2,9,55.00
Buprenorphine,Analgesic,7,3,8,65.00
Naloxone,Opioid Antagonist,2,8,3,45.00
Azithromycin,Antibiotic,8,2,9,18.00
Clarithromycin,Antibiotic,8,2,9,22.00
Doxycycline,Antibiotic,7,3,8,14.00
Cephalexin,Antibiotic,7,4,7,11.00
Metronidazole,Antibiotic,6,5,6,9.50
Sulfamethoxazole,Antibiotic,8,2,9,10.00
Trimethoprim,Antibiotic,7,3,8,8.50
Nitrofurantoin,Antibiotic,6,4,7,13.00
Vancomycin,Antibiotic,5,5,6,120.00
Gentamicin,Antibiotic,4,6,5,35.00
Fluconazole,Antifungal,6,4,7,20.00
Nystatin,Antifungal,3,7,4,15.00
Terbinafine,Antifungal,5,5,6,18.00
Acyclovir,Antiviral,4,6,5,11.00
Valacyclovir,Antiviral,4,6,5,25.00
Oseltamivir,Antiviral,5,5,6,48.00
Zidovudine,Antiretroviral,7,3,8,150.00
Tenofovir,Antiretroviral,6,4,7,180.00
Efavirenz,Antiretroviral,8,2,9,140.00
Ritonavir,Antiretroviral,9,1,10,210.00
Lopinavir,Antiretroviral,9,1,10,230.00
Atazanavir,Antiretroviral,8,2,9,250.00
Darunavir,Antiretroviral,8,2,9,300.00
Entecavir,Antiviral,5,5,6,320.00
Sofosbuvir,Antiviral,4,6,5,1000.00
Ribavirin,Antiviral,6,4,7,120.00
Daclatasvir,Antiviral,5,5,6,450.00
Ledipasvir,Antiviral,4,6,5,800.00
Velpatasvir,Antiviral,4,6,5,900.00
Cyclosporine,Immunosuppressant,8,2,9,150.00
Tacrolimus,Immunosuppressant,8,2,9,180.00
Sirolimus,Immunosuppressant,7,3,8,210.00
Mycophenolate,Immunosuppressant,6,4,7,130.00
Methotrexate,Immunosuppressant,7,3,8,35.00
Azathioprine,Immunosuppressant,6,4,7,45.00
Cyclophosphamide,Antineoplastic,9,1,10,85.00
Doxorubicin,Antineoplastic,9,1,10,120.00
Cisplatin,Antineoplastic,8,2,9,450.00
Paclitaxel,Antineoplastic,8,2,9,550.00
Trastuzumab,Antineoplastic,7,3,8,2500.00
Rituximab,Antineoplastic,7,3,8,3500.00
Imatinib,Antineoplastic,6,4,7,4500.00
Erlotinib,Antineoplastic,7,3,8,3800.00
Gefitinib,Antineoplastic,7,3,8,3200.00
Sunitinib,Antineoplastic,8,2,9,4200.00
Sorafenib,Antineoplastic,8,2,9,4800.00
Dasatinib,Antineoplastic,7,3,8,5500.00
Nilotinib,Antineoplastic,7,3,8,5200.00
Lapatinib,Antineoplastic,8,2,9,4800.00
Pazopanib,Antineoplastic,8,2,9,4600.00
Axitinib,Antineoplastic,7,3,8,6000.00
Regorafenib,Antineoplastic,8,2,9,6500.00
Trametinib,Antineoplastic,7,3,8,8500.00
Dabrafenib,Antineoplastic,7,3,8,8200.00
Vemurafenib,Antineoplastic,8,2,9,7800.00
Pembrolizumab,Antineoplastic,6,4,7,12000.00
Nivolumab,Antineoplastic,6,4,7,11000.00
Ipilimumab,Antineoplastic,7,3,8,15000.00
Atezolizumab,Antineoplastic,6,4,7,13000.00
Durvalumab,Antineoplastic,6,4,7,14000.00
Avelumab,Antineoplastic,6,4,7,12500.00
Cemiplimab,Antineoplastic,6,4,7,13500.00
